snomedcode,snomedcode_count,term,include,RM_16category,RM_5 category,notes,,2021 Census Categories,,,,,,,,,,,,,
186039002,70,New Zealand Maori,1,Other,5,,,,,,,,,,,,,,,,
9.78401E+14,56,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census,1,Other,5,,,,,,,,,,,,,,,,
81560001,28,Tongan,1,Other,5,,,,,,,,,,,,,,,,
186040000,18,Cook Island Maori,1,Other,5,,,,,,,,,,,,,,,,
186042008,4,Tokelauan,1,Other,5,,,,,,,,,,,,,,,,
186041001,1,Niuean,1,Other,5,,,,,,,,,,,,,,,,
9.76971E+14,3650,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census,1,Other ,5,,,,,,,,,,,,,,,,
9.77871E+14,135,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census,1,Other ,5,,,,,,,,,,,,,,,,
86275006,45,Samoan,1,Other ,5,,,,,,,,,,,,,,,,
9.2531E+13,329148,Ethnic category not stated - 2001 census,1,Unknown,6,,,,,,,,,,,,,,,,
9.4041E+13,143191,Other White European or European unspecified or Mixed European - ethnic category 2001 census,1,Unknown,6,,,,,,,,,,,,,,,,
9.2381E+13,138718,Ethnic category - 2001 census,1,Unknown,6,,,,,,,,,,,,,,,,
372148003,73444,Ethnic group,1,Unknown,6,,,,,,,,,,,,,,,,
397731000,69220,Ethnic group finding,1,Unknown,6,,,,,,,,,,,,,,,,
763726001,68191,Refusal by patient to provide information about ethnic group,1,Unknown,6,,,,,,,,,,,,,,,,
186034007,36128,Ethnicity / related nationality data,1,Unknown,6,,,,,,,,,,,,,,,,
312861003,34741,Ethnic group not recorded,1,Unknown,6,,,,,,,,,,,,,,,,
2.02171E+14,30993,Patient ethnicity unknown,1,Unknown,6,,,,,,,,,,,,,,,,
162730000,14027,On examination - ethnic group,1,Unknown,6,,,,,,,,,,,,,,,,
9.76571E+14,7612,Ethnic category - 2011 census England and Wales,1,Unknown,6,,,,,,,,,,,,,,,,
9.76551E+14,4745,Ethnic category - 2011 census,1,Unknown,6,,,,,,,,,,,,,,,,
186007009,605,British ethnic minority unspecified (NMO),1,Unknown,6,,,,,,,,,,,,,,,,
186035008,524,New Zealand ethnic groups,1,Unknown,6,,,,,,,,,,,,,,,,
162731001,482,On examination - Europeanoid,1,Unknown,6,erm,,,,,,,,,,,,,,,
186006000,390,British ethnic minority specified (NMO),1,Unknown,6,,,,,,,,,,,,,,,,
9.4131E+13,250,Buddhist - ethnic category 2001 census,1,Unknown,6,"*religions are unknown ethnicities I would guess�(though on balance, other asian I would guess)",,,,,,,,,,,,,,,
443225003,109,Ethnicity of caregiver,1,Unknown,6,*remove from list,,,,,,,,,,,,,,,
9.76611E+14,95,Ethnic category - 2011 census Scotland,1,Unknown,6,,,,,,,,,,,,,,,,
9.76591E+14,36,Ethnic category - 2011 census Northern Ireland,1,Unknown,6,,,,,,,,,,,,,,,,
162732008,10,On examination - Negroid,1,remove,,,,,,,,,,,,,,,,,
